,defender_nflId,predictedMotionSeparation,postSnapSeparationAdded,percentRoutesWithAddedPostSnapSeparation,count
0,43757.0,5.827697232421988,-1.1518876784125787,0.2826086956521739,46
1,47793.0,4.9391881672398785,-1.1096277780156487,0.24778761061946902,113
2,46711.0,5.927063935214379,-0.9377842960230539,0.32075471698113206,106
3,53448.0,5.019762358398628,-0.8756188815621705,0.30275229357798167,109
4,47843.0,5.850657064807323,-0.865783500135804,0.3225806451612903,93
5,43387.0,7.120360732946761,-0.7514394469430862,0.30303030303030304,66
6,38843.0,5.5607291049221415,-0.7506712607323572,0.3018867924528302,106
7,47913.0,4.925710357913294,-0.7409183193996072,0.3064516129032258,124
8,54550.0,3.9919979400341448,-0.7275688476875676,0.24444444444444444,45
9,52624.0,5.088871561905855,-0.6907430742390043,0.3181818181818182,110
10,54579.0,5.688875819117205,-0.6471415546055778,0.3559322033898305,59
11,44888.0,5.165790221586492,-0.6454229194897824,0.3125,112
12,42421.0,5.332466577584682,-0.6282975515455501,0.35714285714285715,28
13,53552.0,4.797448459235801,-0.6188273857395932,0.22580645161290322,31
14,54653.0,5.3746638823726025,-0.5631578171063043,0.4111111111111111,90
15,44869.0,5.682851432654783,-0.5559112217587087,0.425,40
16,47974.0,6.811641002192499,-0.5523188406749763,0.3617021276595745,141
17,52607.0,5.83580200278202,-0.5332244934926856,0.3333333333333333,30
18,54580.0,4.416104098694277,-0.5305843500058945,0.291044776119403,134
19,40031.0,7.7275570070427815,-0.5219984844552576,0.3023255813953488,43
20,53472.0,5.573977467166077,-0.5215311395169169,0.37037037037037035,81
21,53505.0,4.306521350815187,-0.515799519290431,0.381294964028777,139
22,46097.0,4.450993646846952,-0.5133339958269295,0.3418803418803419,117
23,53609.0,5.546834979754172,-0.5108708549761545,0.39603960396039606,101
24,47956.0,4.62767214638704,-0.4775494779321029,0.4098360655737705,122
25,41243.0,5.39145125084426,-0.4715470582443999,0.4161849710982659,173
26,44851.0,5.883961472772345,-0.46381508028653906,0.32786885245901637,61
27,46269.0,5.090863483533961,-0.4579247374544132,0.40397350993377484,151
28,54561.0,5.063067460713299,-0.45406356885911164,0.29411764705882354,34
29,43351.0,3.7991472541685196,-0.44680449466684635,0.3643724696356275,247
30,53592.0,4.870268433132813,-0.44003812864840264,0.37333333333333335,75
31,53458.0,3.660066864120905,-0.43281273015364635,0.2937853107344633,177
32,41235.0,4.178514978654426,-0.42772698891994915,0.3488372093023256,86
33,37078.0,4.150526120214767,-0.4266736603737764,0.32710280373831774,214
34,47862.0,4.4013429640375055,-0.42603902122012427,0.4117647058823529,51
35,53438.0,4.0822654158153275,-0.41629881646025524,0.38009049773755654,221
